REF_ID,Type,PubMed,Authors,Year,Title,Publication,Volume,Issue,Pages,ISBN,Publisher,Editors,URL,Comments
1,journal article,15937951,"Kim, H., Yin, J.",2005,In silico mutagenesis of RNA Splicing in HIV-1,Biotechnology and Bioengineering,91,7,877-893,,,,,
2,journal article,8246504,"Hammond, B.J.",1993,Quantitative Study of the control of Hiv-1 gene expression,Journal of Theoretical Biology,163,2,199–221,,,,,
3,journal article,19164515,"Pond, S.J.K., Ridgeway, W.K., Robertson, R., Wang, J., Millar, D.P.",2009,HIV-1 Rev protein assembles on viral RNA one molecule at a time,Proceedings of the National Academy of Science USA,106,5,1404–1408,,,,,
4,journal article,14588256,"Lamond, A.I., Sleeman, J.E.",2003,Nuclear substructure and dynamics,Current Biology,13,21,R825-R828,,,,,
5,journal article,16051143,"Weinberger, L.S., Burnett, J.C., Toettcher, J.E., Arkin, A.P., Schaffer, D.V.",2005,Stochastic Gene Expression in a Lentiviral Positive-Feedback Loop: HIV-1 Tat Fluctuations Drive Phenotypic Diversity,Cell,122,2,169-182,,,,,
6,,,"Coffin, J.M., Hughes, S.H., Varmus, H.E.",1997,Retroviruses.,,,,,,,,,
7,,,"Krombach F, Münzing S, Allmeling AM, Gerlach JT, Behr J, Dörger M.",1997,Cell size of alveolar macrophages: an interspecies comparison.,,,,,,,,,
8,,,"Darlix, J.L., Lastra, M.L., Mely, Y., Roques, B.",2002,Nucleocapsid protein chaperoning of Nucleic Acods at the heart of HIV structure assembly and cDNA synthesis.,,,,,,,,,
9,,,"Ivanchenko, S., Godinez, W.J., Lampe, M., Kräusslich, H.G., Eils, R., Rohr, K., Bräuchle, C., Müller, B., Lamb, D.C.",2009,Dynamics of HIV-1 assembly and release.,,,,,,,,,
10,,,"Ono, A.",2009,Assembly at the Plasma Membrane: Gag Trafficking and Localization.,,,,,,,,,
11,,,"Datta, S.A.K., Curtis, J.E., Ratcliff, W., Clark, P.K., Crist, R.M., Lebowitz, J., Krueger, S., Rein, A.",2007,Conformation of the HIV-1 Gag Protein in Solution.,,,,,,,,,
12,,,"Ronis, D.",2013,"Collisions, Chemical Reactions, & Transport.",,,,,,,,,
13,,,"Balasubramanium, M., Freed, E.O.",2011,New insights into HIV assembly and trafficing.,,,,,,,,,
14,,,Ganser-Pornillos,2012,,,,,,,,,,
15,,,"Jouvenet, N., Simon, S.M., Bieniasz, P.D.",2011,Visualizing HIV-1 assembly.,,,,,,,,,
16,,,Frankel and Young,1998,,,,,,,,,,
17,,,Welker,1996,,,,,,,,,,
18,,,Muller,2000,,,,,,,,,,
19,,,Skupsky,,,,,,,,,,,
